Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Country,Age,Child,Spending
Graduation,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,CA,69,1,463
2n Cycle,Together,26907.0,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,SP,45,2,22
2n Cycle,Together,26907.0,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,AUS,45,2,22
PhD,Married,45579.0,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,SP,73,1,183
Graduation,Together,47320.0,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,CA,64,1,414
PhD,Divorced,70179.0,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,SA,45,1,1034
PhD,Divorced,70179.0,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,US,45,1,1034
Master,Married,28072.0,10,30,0,10,2,0,5,1,1,0,3,7,0,0,0,0,0,CA,35,1,47
Graduation,Married,50501.0,10,297,0,38,13,0,152,7,5,4,4,6,1,0,0,0,0,IND,67,2,500
Graduation,Together,58917.0,10,151,7,89,0,7,28,5,4,1,6,5,0,0,0,0,0,SA,52,3,282
Graduation,Together,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,CA,72,0,1381
Master,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,SP,50,1,59
Master,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,AUS,50,1,59
Graduation,Divorced,75693.0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,SP,53,0,1442
Graduation,Married,69109.0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,US,39,0,1555
Graduation,Married,69109.0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,SP,39,0,1555
Graduation,Together,80134.0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,SP,27,0,1378
Graduation,Divorced,64713.0,11,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,AUS,51,1,602
Graduation,Divorced,41411.0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,SP,35,0,139
Graduation,Married,48466.0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,US,38,1,19
PhD,Single,55521.0,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,SP,66,3,446
Master,Together,43795.0,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,SP,53,1,492
Graduation,Together,22070.0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,SA,51,1,67
Master,Married,36408.0,11,9,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,GER,72,2,22
Graduation,Together,34026.0,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,CA,71,2,76
Graduation,Together,34026.0,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,SP,71,2,76
Graduation,Married,46049.0,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,SP,45,2,515
Master,Married,35641.0,11,63,3,67,8,9,28,2,3,1,4,7,0,0,0,0,0,SA,49,1,178
2n Cycle,Together,32414.0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,SA,37,0,52
PhD,Married,59821.0,11,629,0,70,0,0,35,6,11,2,7,8,0,0,0,0,0,SA,66,1,734
Graduation,Married,34968.0,11,158,6,45,8,2,2,7,3,2,5,7,0,0,0,0,0,SA,41,1,221
PhD,Married,56320.0,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,SP,54,1,702
Master,Married,70091.0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,SP,52,1,1161
Graduation,Together,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,SA,65,1,241
PhD,Divorced,41003.0,11,123,133,142,71,44,88,1,6,2,8,6,0,0,0,0,0,SA,58,0,601
Graduation,Together,44911.0,11,159,0,22,2,1,31,3,4,1,4,7,0,0,0,0,0,SP,62,1,215
Graduation,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,AUS,46,1,112
Graduation,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,SP,46,1,112
PhD,Divorced,42873.0,11,209,0,40,3,2,15,4,6,1,4,8,0,0,0,0,0,CA,71,2,269
PhD,Married,51039.0,11,100,64,79,65,0,109,2,6,2,4,7,0,0,0,0,0,AUS,52,2,417
PhD,Together,78952.0,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,SP,63,1,2092
Master,Divorced,29435.0,11,70,3,37,4,2,64,4,3,2,2,9,0,0,0,0,0,CA,55,2,180
Graduation,Divorced,79865.0,12,71,99,278,185,121,38,1,5,10,5,1,0,0,0,0,0,SA,67,1,792
Graduation,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,CA,33,1,89
Graduation,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,IND,33,1,89
PhD,Together,65968.0,12,376,9,83,19,4,4,2,5,4,7,3,0,0,0,0,0,CA,51,1,495
Master,Single,86424.0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,SA,65,0,1226
Graduation,Divorced,67272.0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,SP,55,1,733
Graduation,Single,78499.0,12,912,72,170,47,36,97,1,11,3,4,4,0,0,1,0,0,CA,64,0,1334
Graduation,Together,77044.0,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,SP,49,1,1065
Graduation,Single,70515.0,12,420,0,452,182,64,140,1,6,6,4,2,0,0,0,0,0,ME,28,0,1258
Master,Together,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,SP,46,1,69
PhD,Married,80336.0,12,209,19,456,160,142,66,1,2,9,13,1,0,0,0,0,0,SP,51,0,1052
Graduation,Married,15759.0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,SP,65,0,17
2n Cycle,Together,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,GER,45,0,18
Graduation,Together,62061.0,12,641,7,84,0,30,38,3,10,4,7,6,0,1,0,0,0,SP,45,1,800
Graduation,Married,5305.0,12,12,4,7,1,3,5,0,1,0,0,13,0,0,0,0,0,IND,45,1,32
Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,AUS,39,0,1438
Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,IND,39,0,1438
Master,Together,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,SP,50,1,795
PhD,Single,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,GER,43,1,86
Master,Together,42670.0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,SA,29,0,241
Graduation,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,SP,48,0,1587
Master,Together,41021.0,12,14,7,9,6,16,12,2,2,0,3,6,0,0,0,0,0,SA,52,1,64
Graduation,Married,79456.0,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,SP,65,0,1401
Master,Divorced,78789.0,12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,SP,41,0,1754
PhD,Married,50870.0,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,SP,69,1,63
Master,Married,35876.0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,0,0,0,SP,38,0,129
Graduation,Married,23539.0,13,4,24,11,16,1,25,1,2,0,4,6,0,0,0,0,0,CA,64,0,81
Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,CA,54,1,80
2n Cycle,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,SP,51,1,889
2n Cycle,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,SP,51,1,889
Graduation,Married,54198.0,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,SP,55,2,235
PhD,Married,82170.0,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,SA,43,0,1908
PhD,Single,61798.0,13,338,4,89,11,8,13,1,4,2,9,4,0,0,0,0,0,SP,57,0,463
Basic,Single,15253.0,13,1,3,3,8,1,13,2,1,0,3,7,0,0,0,0,0,CA,29,1,29
Master,Married,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,GER,33,0,1427
Graduation,Single,62535.0,13,163,48,90,0,45,52,1,3,2,8,3,0,0,0,0,0,SP,66,1,398
Basic,Together,27190.0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,SP,48,1,18
2n Cycle,Married,48985.0,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,SP,53,1,75
Graduation,Married,72940.0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,SA,51,0,981
2n Cycle,Married,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,US,36,1,172
Graduation,Together,157146.0,13,1,0,1725,2,1,1,0,0,28,0,1,0,0,0,0,0,SA,44,0,1730
Master,Married,81843.0,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,SP,61,0,1643
Graduation,Together,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,CA,33,1,312
PhD,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,IND,57,2,68
PhD,Married,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,SP,57,2,68
Graduation,Together,78394.0,13,298,27,697,216,24,166,1,4,6,5,2,0,0,0,0,0,SP,35,0,1428
Graduation,Single,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,SP,32,1,37
Graduation,Single,30279.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,SP,32,1,37
Graduation,Widow,31880.0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,SP,51,1,15
Graduation,Widow,60208.0,13,488,23,71,15,0,59,11,8,3,7,7,0,1,0,0,0,SP,48,2,656
Graduation,Together,78687.0,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,SP,38,0,2130
PhD,Married,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,SP,48,1,48
PhD,Married,37401.0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,IND,48,1,48
Graduation,Together,75315.0,14,459,15,171,142,23,31,2,5,4,12,2,0,0,0,0,0,SA,67,1,841
Graduation,Single,69263.0,14,492,5,32,13,5,21,1,9,1,7,6,0,1,0,0,0,CA,56,1,568
Graduation,Married,78569.0,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,SP,75,0,1736
PhD,Married,57705.0,14,383,0,53,6,4,40,3,8,1,6,6,0,0,0,0,0,SP,55,1,486
2n Cycle,Together,74805.0,14,209,162,209,41,162,37,5,4,7,10,2,0,0,0,0,0,SP,66,1,820
PhD,Together,66426.0,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,SP,60,1,1377
Master,Widow,51529.0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,SP,72,1,467
Graduation,Married,18100.0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,SP,75,0,14
2n Cycle,Divorced,59601.0,14,691,7,69,0,7,23,4,2,2,7,8,0,1,0,0,0,US,44,1,797
2n Cycle,Together,20981.0,14,2,12,10,6,13,30,1,3,1,2,8,0,0,0,0,0,CA,44,0,73
Graduation,Married,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,IND,45,0,1581
Graduation,Married,36790.0,14,3,3,14,15,21,10,1,2,1,2,9,0,0,0,0,0,SP,38,0,66
Graduation,Married,18793.0,14,4,16,20,0,17,20,3,2,0,4,8,0,0,0,0,0,SA,50,1,77
Graduation,Widow,27421.0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,SP,67,0,324
Graduation,Married,30675.0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,SP,49,1,62
Graduation,Together,83145.0,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,SP,47,0,1833
Master,Together,34053.0,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,SP,53,1,103
Master,Single,31788.0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,SA,38,1,60
2n Cycle,Married,45894.0,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,SP,47,2,51
Graduation,Divorced,41986.0,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,SP,43,1,63
PhD,Married,42769.0,15,71,0,13,3,1,0,2,1,1,4,4,0,0,0,0,0,CA,59,1,88
2n Cycle,Together,58582.0,15,402,35,106,101,77,42,2,9,2,9,5,0,1,0,0,0,SP,39,1,763
Graduation,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,CA,57,2,187
PhD,Single,76412.0,15,840,53,804,23,71,17,1,5,4,8,3,0,0,1,1,0,CA,41,0,1808
Graduation,Married,18929.0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,SP,31,0,85
Graduation,Married,18929.0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,SP,31,0,85
Graduation,Married,18929.0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,IND,31,0,85
Master,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,SP,35,1,213
Graduation,Together,41580.0,15,56,5,24,4,0,3,3,2,1,3,5,0,0,0,0,0,SP,43,2,92
PhD,Married,31605.0,15,74,0,42,2,1,6,2,2,1,4,7,0,0,0,0,0,SP,42,1,125
PhD,Divorced,25509.0,15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,SP,47,1,101
PhD,Divorced,25509.0,15,40,3,30,10,7,11,3,3,0,3,9,0,0,0,0,0,SP,47,1,101
Master,Widow,33051.0,15,100,71,243,108,94,219,3,9,1,8,9,0,0,0,0,0,SP,62,0,835
PhD,Together,28764.0,16,8,0,3,0,0,1,1,1,0,2,8,1,0,0,0,0,SP,55,2,12
2n Cycle,Married,32146.0,16,26,3,23,4,7,3,2,2,0,4,6,0,0,0,0,0,CA,38,1,66
Graduation,Single,22148.0,16,15,5,14,0,4,11,1,1,0,3,7,0,0,0,0,0,SP,38,0,49
Graduation,Married,36781.0,16,29,1,17,0,3,13,1,2,1,2,8,0,0,0,0,0,SP,42,1,63
Master,Married,54197.0,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,SP,61,1,237
Graduation,Single,93790.0,16,1302,68,731,89,114,45,0,6,7,12,2,0,1,1,1,0,CA,51,0,2349
Graduation,Single,24762.0,16,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,SA,49,1,86
Master,Married,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,IND,37,1,66
2n Cycle,Divorced,11448.0,16,0,0,0,6,2,6,1,1,0,2,6,0,0,0,0,0,SP,46,0,14
Graduation,Divorced,70844.0,16,129,26,67,3,67,2,5,6,1,5,7,0,0,0,0,0,GER,54,2,294
Graduation,Single,30828.0,16,16,11,15,2,0,12,2,1,1,4,3,0,0,0,0,0,AUS,41,1,56
Master,Together,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,US,54,1,716
2n Cycle,Married,27733.0,16,0,7,5,26,2,17,2,2,0,3,7,0,0,0,0,0,GER,40,1,57
PhD,Together,39435.0,16,71,0,18,0,0,13,1,3,1,2,7,0,0,0,0,0,SP,48,1,102
Master,Single,75345.0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,SP,51,0,2087
2n Cycle,Together,20491.0,16,5,4,5,4,2,10,1,0,1,2,7,0,0,0,0,0,GER,35,0,30
Graduation,Married,36715.0,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,SP,50,1,357
Graduation,Together,71706.0,16,931,56,253,91,98,14,4,9,5,7,5,0,0,0,0,0,CA,62,1,1443
PhD,Married,69063.0,16,666,35,124,69,8,26,1,5,3,5,3,0,0,0,0,0,SP,55,1,928
Graduation,Married,24645.0,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,SA,33,1,17
Graduation,Married,35797.0,16,27,1,14,4,1,21,2,2,0,3,8,0,0,0,0,0,SA,46,1,68
Graduation,Married,44078.0,17,24,1,10,2,0,4,2,2,0,3,5,0,0,0,0,0,SA,52,2,41
Graduation,Single,26954.0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,SP,50,1,17
PhD,Together,32920.5,17,25,1,13,0,0,3,1,1,0,3,7,0,0,0,0,0,AUS,49,1,42
PhD,Together,38887.0,17,25,1,13,0,0,3,1,1,0,3,7,0,0,0,0,0,AUS,49,1,42
2n Cycle,Married,65463.0,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,SP,47,1,562
PhD,Together,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,IND,62,2,93
Master,Single,36230.0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,SP,50,1,59
Graduation,Married,80763.0,17,674,168,108,192,42,231,1,5,11,6,3,0,0,1,1,0,SA,71,0,1415
PhD,Married,60585.0,17,267,42,309,55,42,21,10,7,4,9,5,0,0,0,0,0,CA,50,2,736
Graduation,Single,49166.0,17,224,2,25,7,0,110,2,5,3,3,6,0,0,0,0,0,IND,47,1,368
PhD,Together,75261.0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,SP,66,0,1743
Graduation,Together,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,AUS,30,0,836
Master,Married,72828.0,17,1205,0,235,19,14,205,6,6,3,13,7,0,0,0,0,0,SP,59,1,1678
Graduation,Together,75278.0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,SA,69,0,930
Graduation,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,CA,43,1,145
PhD,Married,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,SP,58,1,1241
2n Cycle,Divorced,60161.0,17,584,44,212,46,8,177,3,11,4,8,8,0,0,0,0,0,CA,56,1,1071
PhD,Married,69389.0,17,422,7,238,69,46,15,1,7,2,12,4,0,0,0,0,0,AUS,44,1,797
Graduation,Divorced,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,SA,67,1,1804
Graduation,Married,61014.0,17,269,129,495,182,43,29,4,9,3,4,7,0,0,0,0,0,IND,41,1,1147
Master,Married,44319.0,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,SA,46,2,37
2n Cycle,Married,53233.0,18,28,0,9,3,0,0,1,1,0,3,4,0,0,0,0,0,CA,64,1,40
Graduation,Together,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,SA,67,0,1101
Graduation,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,GER,34,0,778
Graduation,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,SA,34,0,778
Basic,Single,25707.0,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,SP,37,1,21
PhD,Married,42403.0,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,SP,50,1,42
2n Cycle,Single,65704.0,18,279,172,74,38,8,246,1,2,10,10,1,0,0,0,0,0,GER,49,0,817
Graduation,Married,37406.0,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,SP,41,1,17
Master,Together,39767.0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,SP,70,0,485
2n Cycle,Married,54210.0,18,70,54,109,80,9,45,2,4,1,7,5,0,0,0,0,0,SP,42,1,367
Graduation,Divorced,57136.0,18,267,140,599,34,12,127,1,7,5,7,6,0,0,0,0,0,SA,54,0,1179
Graduation,Married,40794.0,18,261,23,73,4,23,50,2,6,3,5,7,0,0,0,0,0,SP,46,1,434
Graduation,Together,83003.0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,SP,56,0,1674
Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,CA,61,0,850
2n Cycle,Together,20193.0,18,8,8,22,24,11,9,1,1,1,4,4,0,0,0,0,0,SP,30,0,82
Graduation,Married,72099.0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,SP,47,0,1188
Graduation,Married,43824.0,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,SP,50,2,186
Graduation,Together,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,AUS,46,2,612
Graduation,Married,44359.0,19,20,0,14,7,3,1,3,2,0,4,3,0,0,0,0,0,SP,43,2,45
Graduation,Married,79410.0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,SP,60,0,1370
Master,Married,55842.0,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,SP,44,1,518
Graduation,Widow,79946.0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,SA,55,0,1478
2n Cycle,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,GER,42,1,1274
Master,Married,80184.0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,SP,77,0,1902
Graduation,Divorced,76982.0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,SP,54,0,1062
PhD,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,US,41,0,664
Graduation,Together,57100.0,19,181,21,69,39,3,96,1,3,3,6,3,0,0,0,0,0,SA,48,0,409
Graduation,Married,29009.0,19,6,6,15,10,5,2,2,2,0,3,6,0,0,0,0,0,US,40,1,44
PhD,Married,78931.0,19,331,197,170,58,152,35,1,2,8,13,1,0,0,0,0,0,CA,50,0,943
Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,AUS,46,1,31
Graduation,Married,56939.0,19,256,34,103,90,29,49,2,3,3,10,3,0,0,0,0,0,SP,45,1,561
Graduation,Single,64509.0,19,836,185,575,24,25,77,1,6,3,9,4,1,0,0,0,0,SA,31,0,1722
Graduation,Married,30093.0,19,2,6,28,13,4,16,1,2,0,3,7,0,0,0,0,0,SP,31,0,69
PhD,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,US,47,1,46
PhD,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,SP,47,1,46
PhD,Together,38201.0,19,233,0,23,0,0,12,4,5,1,5,8,0,0,0,0,0,SA,61,1,268
Graduation,Single,41087.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,AUS,35,1,637
PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,CA,41,1,551
Graduation,Together,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,SP,51,2,17
2n Cycle,Divorced,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,AUS,61,0,1152
Graduation,Married,16860.0,19,10,4,4,3,3,14,3,1,1,3,7,0,0,0,0,0,SP,60,2,38
PhD,Single,27213.0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,SP,49,1,70
Graduation,Married,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,AUS,45,1,71
Graduation,Divorced,4861.0,20,2,1,1,1,0,1,0,0,0,0,14,0,0,0,0,0,SA,56,0,6
Master,Married,38196.0,20,30,0,11,0,0,3,3,2,0,4,5,0,0,0,0,0,SP,50,2,44
PhD,Married,41145.0,20,9,0,3,0,0,1,1,0,0,3,3,0,0,0,0,0,CA,71,2,13
PhD,Single,38513.0,20,172,3,115,16,0,18,5,6,1,5,8,0,0,0,0,0,SP,39,1,324
Graduation,Married,45688.0,20,279,0,18,0,0,9,2,3,1,8,4,0,1,0,0,0,SP,53,1,306
PhD,Together,77863.0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,SP,63,0,1291
Master,Married,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,SP,52,2,30
Graduation,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,SP,57,1,486
2n Cycle,Divorced,35388.0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,SA,33,1,32
Graduation,Married,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,GER,52,0,1757
Graduation,Together,39898.0,20,69,8,26,12,7,12,2,3,0,4,7,0,0,0,0,0,CA,67,1,134
Graduation,Together,39898.0,20,69,8,26,12,7,12,2,3,0,4,7,0,0,0,0,0,SP,67,1,134
Master,Divorced,44051.0,20,79,7,58,6,3,18,4,3,1,4,6,0,0,0,0,0,SA,48,2,171
Graduation,Married,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,IND,67,0,1270
Master,Married,80141.0,20,1184,102,673,52,40,40,1,7,4,10,6,0,0,1,0,0,SP,35,0,2091
Graduation,Married,58597.0,20,490,0,184,10,28,21,12,7,4,9,7,0,0,0,0,0,IND,45,2,733
PhD,Married,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,CA,76,0,1706
Graduation,Single,46904.0,20,153,4,56,0,9,31,4,5,1,4,8,0,0,0,0,0,SP,54,2,253
Graduation,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,US,75,0,317
Graduation,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,SA,75,0,317
Graduation,Single,61839.0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,SP,57,0,1895
PhD,Married,29791.0,21,14,0,6,0,0,0,2,2,0,3,5,0,0,0,0,0,AUS,49,1,20
PhD,Single,48918.0,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,SP,58,2,62
PhD,Single,48918.0,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,SP,58,2,62
Graduation,Married,58692.0,21,301,11,61,4,7,11,1,8,2,4,7,0,0,0,0,0,CA,56,1,395
Graduation,Married,39356.0,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,SP,45,2,23
Master,Married,76234.0,21,519,50,167,130,0,41,1,8,3,11,3,0,1,0,0,0,CA,49,1,907
Graduation,Married,55434.0,21,238,115,215,169,69,76,3,5,3,13,4,0,0,0,0,0,SA,37,1,882
Master,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,IND,75,0,1033
Master,Married,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,SP,75,0,1033
Graduation,Married,71965.0,21,572,19,286,50,38,248,3,6,3,5,3,0,0,0,0,0,CA,70,1,1213
Graduation,Together,74538.0,21,380,98,733,110,112,28,1,8,8,5,3,0,0,1,0,0,SP,50,0,1461
